user_id,post_type,post_length,likes,comments,shares,engagement_rate,user_followers,post_category,post_hour,is_weekend,user_verified,spam_flag
1,video,287,306,52,35,4.457268756,9204,fashion,3,0,0,0
2,text,149,330,78,36,4.845244241,596,sports,7,0,1,0
3,video,222,460,78,40,2.037066742,1563,food,12,1,1,1
4,video,185,265,3,16,2.023280957,6928,sports,9,1,0,0
5,text,270,397,95,34,0.531913157,4353,food,17,1,1,1
6,text,168,209,22,47,3.561128097,593,fashion,8,0,0,1
7,video,102,50,69,4,4.214479531,5165,food,0,0,0,0
8,image,232,117,87,47,1.159737352,5530,sports,12,1,0,1
9,video,81,200,83,31,1.218498572,1526,technology,17,0,1,0
10,video,100,376,83,2,4.055374625,9984,technology,14,0,1,1
11,video,93,38,75,46,3.273308368,1893,fashion,1,1,0,1
12,video,131,27,32,34,0.701872509,2823,sports,10,1,0,0
13,text,247,258,27,13,3.301461457,758,sports,13,1,1,1
14,video,195,83,7,47,1.890129753,4861,sports,21,0,0,0
15,image,,453,0,30,,7730,fashion,14,1,0,1
16,text,199,154,36,30,3.963791382,8841,technology,13,1,1,0
17,image,86,116,62,16,4.149208367,8934,food,15,1,1,0
18,image,145,1,21,23,2.301604821,4450,fashion,22,0,1,0
19,image,,92,69,22,,307,food,14,0,1,0
20,image,,165,20,17,,4290,technology,18,1,0,1
21,text,108,386,95,49,3.973262159,1983,fashion,8,1,1,0
22,text,180,399,34,13,2.677447691,2986,technology,4,0,1,0
23,image,205,349,78,49,4.538895469,577,food,4,0,0,0
24,image,251,295,4,14,4.584925596,9053,sports,10,1,0,0
25,text,292,257,59,14,0.893375635,8481,sports,19,0,0,1
26,text,84,80,45,5,4.714219991,6954,food,23,1,1,0
27,text,238,424,49,26,4.214906787,855,sports,3,1,0,1
28,video,142,267,47,14,4.060898214,9738,food,19,0,1,0
29,video,231,418,5,49,1.404101029,5031,fashion,17,1,0,0
30,video,240,234,88,35,4.123036439,9955,fashion,2,1,1,0
31,image,256,320,55,7,4.325597306,5824,fashion,3,0,0,0
32,video,146,310,58,14,1.801176505,4250,sports,13,1,1,0
33,image,184,300,28,2,4.785170353,4160,technology,6,0,1,0
34,image,125,462,70,46,0.724370659,4865,sports,7,1,0,1
35,video,98,473,76,12,1.17459164,3712,sports,23,1,0,1
36,image,143,356,17,40,2.919115121,6653,technology,15,0,1,0
37,video,262,212,1,33,3.09106612,7478,technology,19,0,0,0
38,video,208,61,7,23,3.403175375,1789,technology,14,0,1,0
39,text,235,48,74,39,0.576361082,1416,technology,6,0,1,1
40,video,238,126,96,31,4.821650486,7230,sports,16,0,1,0
41,text,73,222,53,31,0.700646417,3286,food,21,0,0,1
42,video,197,408,37,29,1.143778787,5889,fashion,21,1,1,1
43,video,86,278,47,48,0.563065329,1245,food,21,0,1,1
44,text,53,407,26,12,3.05086295,4494,sports,11,1,1,1
45,text,,293,19,0,,8042,technology,17,0,1,1
46,video,157,283,11,33,3.496762247,7648,fashion,23,1,0,0
47,image,175,276,42,14,4.201958608,660,fashion,13,1,0,1
48,text,69,437,60,43,0.559765416,2012,food,14,0,1,1
49,image,237,106,30,13,2.939068843,1964,sports,14,1,0,0
50,image,201,145,90,28,2.568033399,396,sports,4,1,0,0
51,image,99,419,95,33,2.745355749,2509,sports,15,1,1,1
52,text,226,98,60,17,0.824959334,7730,fashion,4,0,0,0
53,image,228,428,73,6,3.579959125,1561,food,1,0,0,0
54,text,145,374,66,28,2.764491867,4392,fashion,19,1,0,0
55,image,154,72,90,30,3.943169824,2368,fashion,8,0,0,1
56,video,213,436,34,24,2.683807853,1094,technology,21,0,0,1
57,video,299,485,94,37,1.172217363,6654,food,8,1,0,0
58,text,166,121,14,13,3.417156293,107,technology,3,1,1,0
59,video,147,29,15,7,1.275738629,2615,sports,14,0,0,1
60,video,,187,12,26,,1517,fashion,10,0,1,1
61,image,115,363,34,1,3.259023076,2416,food,0,0,1,0
62,text,128,353,74,16,1.207417476,7458,sports,17,1,1,1
63,image,211,287,58,36,4.830521259,4032,food,0,0,0,1
64,image,213,450,20,13,2.832644585,6304,fashion,7,0,0,0
65,image,55,194,53,24,0.828043033,1387,food,15,0,1,0
66,image,88,155,74,29,3.32074807,1218,sports,21,1,1,1
67,image,219,171,29,28,1.639395082,8844,technology,17,1,1,1
68,image,292,334,47,19,4.116620533,7737,fashion,21,1,0,1
69,image,164,40,34,20,4.180199331,760,technology,8,0,0,0
70,text,235,62,85,21,4.905263101,9007,fashion,11,0,0,0
71,video,295,22,37,34,2.75841289,7022,sports,18,1,1,0
72,image,174,359,30,36,2.547305959,8204,fashion,17,0,0,0
73,image,61,74,77,15,3.890640225,6437,technology,4,0,0,1
74,image,180,47,23,49,1.096117954,2629,fashion,1,0,1,0
75,image,286,159,48,48,2.961119812,4070,sports,6,1,0,0
76,image,67,312,95,42,2.958114201,3507,fashion,9,0,1,1
77,image,89,117,99,16,0.902629053,9750,technology,14,0,0,0
78,video,70,99,31,15,2.380928385,9146,sports,6,1,1,1
79,video,192,379,54,1,4.339781594,7516,technology,4,0,0,0
80,image,274,416,78,3,4.352691299,4860,fashion,14,1,1,1
81,video,148,407,57,20,0.946569492,1997,food,19,0,0,1
82,text,75,166,98,38,0.908243972,6464,technology,19,1,1,1
83,image,57,289,2,33,1.682129647,8564,fashion,14,1,1,0
84,text,149,439,79,29,4.436447281,4187,food,9,0,0,1
85,text,289,155,68,5,1.080061633,9564,food,23,0,0,0
86,image,271,420,84,16,3.739985612,4474,sports,13,1,1,0
87,video,136,6,9,38,0.955245288,7707,food,9,0,0,0
88,text,91,195,82,24,3.304120342,4119,technology,16,1,1,0
89,image,221,420,24,4,2.102302846,915,technology,20,0,1,0
90,text,63,55,67,4,4.050112833,7355,food,13,0,0,0
91,text,127,320,60,19,1.55160702,1022,fashion,1,0,0,1
92,text,51,192,28,15,3.376408232,4967,technology,15,0,0,1
93,text,168,46,18,40,1.560571406,1364,technology,12,1,1,0
94,video,86,147,42,36,3.711471274,3824,sports,8,1,1,0
95,text,118,274,65,39,4.431551156,2822,fashion,6,0,0,0
96,text,215,156,73,8,1.070608096,5455,food,15,0,1,0
97,text,,201,60,4,,2650,fashion,9,0,1,0
98,video,90,443,42,41,3.171088645,5419,sports,23,0,0,1
